index,PAGE_NAME,COLUMN_NAME,DATA_TYPE,IS_PERCENT_DATA,DESCRIPTION,REFERENCE
0,Demographics,State_FIPS_Code,Text,N,"Two-digit state identifier, developed by the National Bureau of Standards","Data Sources, Definitions, and Notes, Page 6"
1,Demographics,County_FIPS_Code,Text,N,"Three-digit county identifier, developed by the National Bureau of Standards","Data Sources, Definitions, and Notes, Page 6"
2,Demographics,CHSI_County_Name,Text,N,Name of county,
3,Demographics,CHSI_State_Name,Text,N,Name of State or District of Columbia,
4,Demographics,CHSI_State_Abbr,Text,N,Two-character postal abbreviation for state name,
5,Demographics,Strata_ID_Number,Integer,N,CHSI Peer County Stratum Number,"Data Sources, Definitions, and Notes, Pages 6-8"
6,Demographics,Strata_Determining_Factors,Text,N,Listing of strata factors,"Data Sources, Definitions, and Notes, Pages 6-8"
7,Demographics,Number_Counties,Integer,N,Number of peer counties,"Data Sources, Definitions, and Notes, Page 8"
8,Demographics,Population_Size,Integer,N,"County data, population size","Data Sources, Definitions, and Notes, Page 4"
9,Demographics,Min_Population_Size,Integer,N,"Tenth percentile from peer counties, population size","Data Sources, Definitions, and Notes, Pages 4-5"
10,Demographics,Max_Population_Size,Integer,N,"Nintieth percentile from peer counties, population size","Data Sources, Definitions, and Notes, Pages 4-5"
11,Demographics,Population_Density,Integer,N,"County data, population density (people per square mile)","Data Sources, Definitions, and Notes, Page 4"
12,Demographics,Min_Population_Density,Integer,N,"Tenth percentile from peer counties, population density (people per square mile)","Data Sources, Definitions, and Notes, Pages 4-5"
13,Demographics,Max_Population_Density,Integer,N,"Nintieth percentile from peer counties, population density (people per square mile)","Data Sources, Definitions, and Notes, Pages 4-5"
14,Demographics,Poverty,Decimal,Y,"County data, individuals living below poverty level","Data Sources, Definitions, and Notes, Page 5"
15,Demographics,Min_Poverty,Decimal,Y,"Tenth percentile from peer counties, individuals living below poverty level","Data Sources, Definitions, and Notes, Page 5"
16,Demographics,Max_Poverty,Decimal,Y,"Nintieth percentile from peer counties, individuals living below poverty level","Data Sources, Definitions, and Notes, Page 5"
17,Demographics,Age_19_Under,Decimal,Y,"County data, population under age 19","Data Sources, Definitions, and Notes, Page 5"
18,Demographics,Min_Age_19_Under,Decimal,Y,"Tenth percentile from peer counties, population under age 19","Data Sources, Definitions, and Notes, Page 5"
19,Demographics,Max_Age_19_Under,Decimal,Y,"Nintieth percentile from peer counties, population under age 19","Data Sources, Definitions, and Notes, Page 5"
20,Demographics,Age_19_64,Decimal,Y,"County data, population age 19-64","Data Sources, Definitions, and Notes, Page 5"
21,Demographics,Min_Age_19_64,Decimal,Y,"Tenth percentile from peer counties, population age 19-64","Data Sources, Definitions, and Notes, Page 5"
22,Demographics,Max_Age_19_65,Decimal,Y,"Nintieth percentile from peer counties, population age 19-64","Data Sources, Definitions, and Notes, Page 5"
23,Demographics,Age_65_84,Decimal,Y,"County data, population age 65-84","Data Sources, Definitions, and Notes, Page 5"
24,Demographics,Min_Age_65_84,Decimal,Y,"Tenth percentile from peer counties, population age 65-84","Data Sources, Definitions, and Notes, Page 5"
25,Demographics,Max_Age_65_85,Decimal,Y,"Nintieth percentile from peer counties, population age 65-84","Data Sources, Definitions, and Notes, Page 5"
26,Demographics,Age_85_and_Over,Decimal,Y,"County data, population age 85+","Data Sources, Definitions, and Notes, Page 5"
27,Demographics,Min_Age_85_and_Over,Decimal,Y,"Tenth percentile from peer counties, population age 85+","Data Sources, Definitions, and Notes, Page 5"
28,Demographics,Max_Age_85_and_Over,Decimal,Y,"Nintieth percentile from peer counties, population age 85+","Data Sources, Definitions, and Notes, Page 5"
